com_type,info_type,short_code,std_code,name
1,1,165W12,KR4165WC0006,3년국채    F 202512
1,1,167W12,KR4167WC0004,10년국채   F 202512
2,1,175W12,KR4175WC0004,미국달러 F 202512
1,2,465W1201,KR4465WC63S9,3년국채    SP 2512-2603
1,2,467W1201,KR4467WC63S5,10년국채   SP 2512-2603
2,2,475W1201,KR4475WC61S2,미국달러 SP 2512-2601
2,2,475W1202,KR4475WC62S0,미국달러 SP 2512-2602
2,2,475W1203,KR4475WC63S8,미국달러 SP 2512-2603
2,2,475W1204,KR4475WC64S6,미국달러 SP 2512-2604
2,2,475W1205,KR4475WC65S3,미국달러 SP 2512-2605
2,2,475W1206,KR4475WC66S1,미국달러 SP 2512-2606
2,2,475W1207,KR4475WC67S9,미국달러 SP 2512-2607
2,2,475W1208,KR4475WC68S7,미국달러 SP 2512-2608
2,2,475W1209,KR4475WC69S5,미국달러 SP 2512-2609
2,2,475W1210,KR4475WC6AS8,미국달러 SP 2512-2610
2,2,475W1211,KR4475WC6BS6,미국달러 SP 2512-2611
2,2,475W1212,KR4475WC6CS4,미국달러 SP 2512-2612
2,2,475W1213,KR4475WC73S7,미국달러 SP 2512-2703
2,2,475W1214,KR4475WC76S0,미국달러 SP 2512-2706
2,2,475W1215,KR4475WC79S4,미국달러 SP 2512-2709
2,2,475W1216,KR4475WC7CS2,미국달러 SP 2512-2712
2,2,475W1217,KR4475WC83S6,미국달러 SP 2512-2803
2,2,475W1218,KR4475WC86S9,미국달러 SP 2512-2806
2,2,475W1219,KR4475WC89S3,미국달러 SP 2512-2809
1,1,A65603,KR4A65630001,3년국채    F 202603
1,1,A67603,KR4A67630009,10년국채   F 202603
2,1,A75601,KR4A75610001,미국달러 F 202601
2,1,A75602,KR4A75620000,미국달러 F 202602
2,1,A75603,KR4A75630009,미국달러 F 202603
2,1,A75604,KR4A75640008,미국달러 F 202604
2,1,A75605,KR4A75650007,미국달러 F 202605
2,1,A75606,KR4A75660006,미국달러 F 202606
2,1,A75607,KR4A75670005,미국달러 F 202607
2,1,A75608,KR4A75680004,미국달러 F 202608
2,1,A75609,KR4A75690003,미국달러 F 202609
2,1,A75610,KR4A756A0000,미국달러 F 202610
2,1,A75611,KR4A756B0009,미국달러 F 202611
2,1,A75612,KR4A756C0008,미국달러 F 202612
2,1,A75703,KR4A75730007,미국달러 F 202703
2,1,A75706,KR4A75760004,미국달러 F 202706
2,1,A75709,KR4A75790001,미국달러 F 202709
2,1,A75712,KR4A757C0007,미국달러 F 202712
2,1,A75803,KR4A75830005,미국달러 F 202803
2,1,A75806,KR4A75860002,미국달러 F 202806
2,1,A75809,KR4A75890009,미국달러 F 202809
